entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,renewal_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,19,16,3,0,3,0,0
2006,historical_pre_2000,2.9.1,description,date_filed,criminal,criminal_plea,operative,sfsc.strict_judgment_end_state.criminal_guilty_or_no_contest_plea,7,7,3,0,3,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,family_multi_order,vacatur_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,6,6,3,0,3,3,0
2006,historical_pre_2000,2.9.1,description,date_filed,writ_or_mandate,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,5,4,3,0,3,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,verdict_recorded,operative,sfsc.strict_judgment_end_state.observed_jury_verdict_for_party,5,5,3,0,3,3,0
2006,historical_pre_2000,2.9.1,description,date_filed,family_multi_order,family_support_order,operative,sfsc.strict_judgment_end_state.family_support_order,1099,622,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_appointment_petition,961,330,2,0,2,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,family_multi_order,family_order_reference,reference,sfsc.strict_judgment_end_state.family_support_modification_hearing_notice,590,404,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,appeal_reference,reference,sfsc.strict_judgment_end_state.notice_of_appeal,570,267,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_sentence_modification,operative,sfsc.strict_judgment_end_state.criminal_probation_terminated_or_expired,558,551,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,settlement_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,355,183,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,appeal_reference,reference,sfsc.strict_judgment_end_state.notice_of_appeal,275,256,2,0,2,1,0
2006,unknown_period,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_plea_advisement_or_not_guilty_procedure,178,167,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,172,160,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_sentence_modification,operative,sfsc.strict_judgment_end_state.criminal_sentence_modification,169,161,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,dismissal_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,153,143,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,settlement_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,134,86,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,dismissal_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,123,109,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,judgment_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,90,68,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_trust_order,operative,sfsc.strict_judgment_end_state.probate_trust_granted_observed,90,89,2,0,2,0,0
2006,unknown_period,2.9.1,description,date_filed,criminal,criminal_plea,operative,sfsc.strict_judgment_end_state.criminal_guilty_or_no_contest_plea,85,84,2,0,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_procedural_filing,81,43,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,family_multi_order,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_procedural_filing,79,65,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_motion_or_brief_wrapper,72,53,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,70,69,5,3,2,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_stipulation_seeking_judgment,53,50,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,49,36,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,41,38,5,3,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,dismissal_reference,reference,sfsc.strict_judgment_end_state.criminal_dismissal_motion_or_setting,37,13,2,0,2,0,0
2006,unknown_period,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_embedded_warrant_status,22,18,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_sentence_direct_shorthand,13,12,2,0,2,0,0
2006,unknown_period,2.9.1,description,date_filed,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_sentence_minute_order,12,11,2,0,2,2,0
2006,historical_pre_2000,2.9.1,description,date_filed,family_multi_order,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_procedural_filing,10,10,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_fiduciary_change_order,operative,sfsc.strict_judgment_end_state.probate_fiduciary_change_granted_observed,10,10,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_sentence_direct_shorthand,5,5,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,5,5,2,0,2,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,probate,probate_will_admission_order,operative,sfsc.strict_judgment_end_state.probate_will_relief_granted_observed,4,4,2,0,2,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_ajw_sentence_shorthand,3,3,2,0,2,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,satisfaction,operative,sfsc.strict_judgment_end_state.observed_execution_returned_satisfied,2,2,2,0,2,2,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,judgment_reference,reference,sfsc.strict_judgment_end_state.abstract_of_judgment,2,2,2,0,2,2,0
2006,historical_pre_2000,2.9.1,description,date_filed,unlawful_detainer,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,2,1,2,0,2,0,0
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,2,2,2,0,2,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,20005,7619,2,1,1,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,dismissal_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,7452,5248,1,0,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,settlement_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,3055,1066,1,0,1,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.abstract_of_judgment,2816,2331,2,1,1,1,0
