original_event_year,case_model,recorded_event_kind,selected_original_events,original_total_count,recorded_amount_but_original_missing_count,no_original_or_recorded_amount_count,recorded_only_median,recorded_only_median_event_year
1995,unlawful_detainer,dismissal,1198,0,0,1198,,
1995,unlawful_detainer,judgment,1425,0,0,1425,,
1995,writ_or_mandate,dismissal,76,0,0,76,,
1995,writ_or_mandate,judgment,60,0,0,60,,
1995,writ_or_mandate,judgment_of_dismissal,3,0,0,3,,
1996,civil_general,monetary_judgment,3214,2541,672,1,5006.44,1996.0
1996,unlawful_detainer,possession,1515,845,200,470,2502.05,1996.0
1996,civil_general,renewal,231,151,80,0,9882.43,2006.0
1996,small_claims,monetary_judgment,3630,3566,64,0,872.25,1996.0
1996,small_claims,amended_judgment,301,289,10,2,3990.00,1996.0
1996,civil_general,take_nothing,105,40,8,57,1422.45,1996.0
1996,unlawful_detainer,amended_judgment,29,11,8,10,2952.17,1996.0
1996,unlawful_detainer,take_nothing,39,18,8,13,454.00,1996.0
1996,civil_general,amended_judgment,21,14,6,1,3170.82,1996.5
1996,unlawful_detainer,renewal,8,6,2,0,6508.96,2005.0
1996,civil_general,dismissal,8145,2,1,8142,21785.31,1996.0
1996,civil_general,judgment,272,1,1,270,1500.00,1997.0
1996,small_claims,dismissal,1279,12,1,1266,2222.00,1996.0
1996,unlawful_detainer,monetary_judgment,16,15,1,0,20311.35,1997.0
1996,appellate_review,dismissal,5,0,0,5,,
1996,civil_general,declaratory/injunctive,1,0,0,1,,
1996,civil_general,default_judgment,19,0,0,19,,
1996,civil_general,judgment_of_dismissal,35,0,0,35,,
1996,civil_general,name_change_decree,355,0,0,355,,
1996,civil_general,possession,2,0,0,2,,
1996,criminal,dismissal,1804,0,0,1804,,
1996,family_domestic_violence,dismissal,8,0,0,8,,
1996,family_multi_order,amended_judgment,1,0,0,1,,
1996,family_multi_order,default_judgment,1,0,0,1,,
1996,family_multi_order,dismissal,1397,0,0,1397,,
1996,family_multi_order,judgment,13,0,0,13,,
1996,probate,dismissal,31,0,0,31,,
1996,small_claims,judgment,2189,0,0,2189,,
1996,small_claims,judgment_of_dismissal,3,0,0,3,,
1996,unknown,dismissal,2,0,0,2,,
1996,unknown,judgment,1,0,0,1,,
1996,unlawful_detainer,dismissal,2115,0,0,2115,,
1996,unlawful_detainer,judgment,1327,1,0,1326,,
1996,writ_or_mandate,dismissal,68,0,0,68,,
1996,writ_or_mandate,judgment,75,0,0,75,,
1996,writ_or_mandate,judgment_of_dismissal,2,0,0,2,,
1997,civil_general,monetary_judgment,2837,2201,636,0,4548.50,1997.0
1997,unlawful_detainer,possession,1529,830,220,479,2822.06,1997.0
1997,civil_general,renewal,214,142,72,0,8578.40,2007.0
1997,small_claims,monetary_judgment,3477,3425,52,0,1082.50,1997.0
1997,unlawful_detainer,amended_judgment,47,18,19,10,3775.00,1997.0
1997,civil_general,take_nothing,67,15,8,44,1642.17,1997.0
1997,unlawful_detainer,take_nothing,34,13,8,13,273.00,1997.0
1997,civil_general,amended_judgment,17,9,7,1,4000.00,1998.0
1997,small_claims,amended_judgment,281,269,7,5,1241.00,1997.0
1997,unlawful_detainer,monetary_judgment,10,5,4,1,1625.00,1997.5
1997,writ_or_mandate,renewal,2,0,2,0,194060.34,2007.0
1997,civil_general,possession,5,1,1,3,61292.49,2003.0
1997,small_claims,dismissal,1225,8,1,1216,123.75,1997.0
1997,unlawful_detainer,renewal,2,1,1,0,8204.34,2007.0
1997,appellate_review,dismissal,17,0,0,17,,
1997,civil_general,default_judgment,33,1,0,32,,
1997,civil_general,dismissal,7681,1,0,7680,,
1997,civil_general,judgment,242,2,0,240,,
1997,civil_general,judgment_of_dismissal,40,0,0,40,,
1997,civil_general,name_change_decree,359,0,0,359,,
1997,criminal,dismissal,2371,0,0,2371,,
1997,family_domestic_violence,dismissal,4,0,0,4,,
1997,family_multi_order,amended_judgment,1,0,0,1,,
1997,family_multi_order,default_judgment,2,0,0,2,,
1997,family_multi_order,dismissal,1273,0,0,1273,,
1997,family_multi_order,judgment,24,1,0,23,,
1997,probate,dismissal,33,0,0,33,,
1997,probate,judgment,2,0,0,2,,
1997,small_claims,judgment,1993,0,0,1993,,
1997,small_claims,renewal,3,3,0,0,,
1997,unlawful_detainer,dismissal,1550,0,0,1550,,
1997,unlawful_detainer,judgment,1220,1,0,1219,,
1997,writ_or_mandate,declaratory/injunctive,1,0,0,1,,
1997,writ_or_mandate,default_judgment,1,0,0,1,,
1997,writ_or_mandate,dismissal,53,0,0,53,,
1997,writ_or_mandate,judgment,50,0,0,50,,
1997,writ_or_mandate,judgment_of_dismissal,6,0,0,6,,
1998,civil_general,monetary_judgment,2712,1917,795,0,5021.76,1998.0
1998,unlawful_detainer,possession,1303,749,151,403,2643.87,1998.0
1998,civil_general,renewal,205,121,84,0,13524.68,2008.0
1998,small_claims,monetary_judgment,2780,2713,67,0,1520.00,1998.0
1998,civil_general,take_nothing,102,34,10,58,733.30,1999.0
1998,unlawful_detainer,take_nothing,34,10,10,14,430.00,1998.0
1998,small_claims,amended_judgment,255,243,9,3,1225.00,1998.0
1998,civil_general,amended_judgment,18,10,8,0,8050.61,1998.5
1998,unlawful_detainer,amended_judgment,24,14,7,3,2692.00,1998.0
1998,unlawful_detainer,renewal,7,2,5,0,8357.96,2008.0
1998,unlawful_detainer,monetary_judgment,14,10,4,0,5516.45,1998.0
1998,civil_general,judgment,255,3,1,251,2615.95,1998.0
1998,small_claims,dismissal,991,26,1,964,1622.00,1999.0
1998,writ_or_mandate,renewal,1,0,1,0,174673.32,2008.0
1998,appellate_review,amended_judgment,1,0,0,1,,
1998,appellate_review,dismissal,16,0,0,16,,
1998,civil_general,declaratory/injunctive,1,0,0,1,,
1998,civil_general,default_judgment,21,0,0,21,,
1998,civil_general,dismissal,7941,1,0,7940,,
1998,civil_general,judgment_of_dismissal,35,0,0,35,,
1998,civil_general,name_change_decree,328,0,0,328,,
1998,civil_general,possession,1,0,0,1,,
1998,criminal,dismissal,3073,0,0,3073,,
1998,family_domestic_violence,dismissal,8,0,0,8,,
1998,family_multi_order,default_judgment,7,0,0,7,,
1998,family_multi_order,dismissal,346,0,0,346,,
1998,family_multi_order,judgment,52,0,0,52,,
1998,probate,dismissal,32,0,0,32,,
1998,small_claims,judgment,1994,0,0,1994,,
1998,small_claims,renewal,14,14,0,0,,
1998,unknown,dismissal,1,0,0,1,,
1998,unlawful_detainer,declaratory/injunctive,1,0,0,1,,
1998,unlawful_detainer,default_judgment,1,0,0,1,,
1998,unlawful_detainer,dismissal,1303,0,0,1303,,
1998,unlawful_detainer,judgment,1090,1,0,1089,,
1998,writ_or_mandate,declaratory/injunctive,1,0,0,1,,
1998,writ_or_mandate,dismissal,76,0,0,76,,
1998,writ_or_mandate,judgment,67,0,0,67,,
1998,writ_or_mandate,judgment_of_dismissal,1,0,0,1,,
1999,civil_general,monetary_judgment,2674,1691,983,0,4656.64,1999.0
1999,unlawful_detainer,possession,937,545,117,275,3000.00,1999.0
1999,civil_general,renewal,201,119,82,0,14443.04,2009.0
1999,small_claims,monetary_judgment,2424,2389,35,0,993.23,1999.0
1999,unlawful_detainer,take_nothing,35,11,8,16,3824.45,1999.0
1999,civil_general,take_nothing,71,25,7,39,3502.65,1999.0
1999,unlawful_detainer,amended_judgment,17,6,6,5,3561.84,1999.0
1999,civil_general,amended_judgment,27,19,5,3,4132.93,2000.0
1999,unlawful_detainer,monetary_judgment,10,4,5,1,2818.09,1999.0
1999,small_claims,amended_judgment,233,225,3,5,3873.26,1999.0
1999,writ_or_mandate,renewal,2,0,2,0,64755.11,2009.0
1999,civil_general,possession,1,0,1,0,10408.94,1999.0
1999,probate,renewal,1,0,1,0,2618586.18,2020.0
1999,appellate_review,dismissal,16,0,0,16,,
1999,civil_general,declaratory/injunctive,1,0,0,1,,
1999,civil_general,default_judgment,26,1,0,25,,
1999,civil_general,dismissal,7522,0,0,7522,,
1999,civil_general,judgment,235,2,0,233,,
1999,civil_general,judgment_of_dismissal,34,0,0,34,,
1999,civil_general,name_change_decree,353,0,0,353,,
1999,criminal,dismissal,2312,0,0,2312,,
1999,family_domestic_violence,dismissal,5,0,0,5,,
1999,family_multi_order,amended_judgment,3,0,0,3,,
1999,family_multi_order,default_judgment,9,0,0,9,,
1999,family_multi_order,dismissal,203,0,0,203,,
1999,family_multi_order,judgment,73,0,0,73,,
1999,probate,dismissal,36,0,0,36,,
1999,probate,judgment,3,0,0,3,,
1999,small_claims,dismissal,926,106,0,820,,
1999,small_claims,judgment,1936,0,0,1936,,
1999,small_claims,renewal,15,15,0,0,,
1999,unknown,take_nothing,1,1,0,0,,
1999,unlawful_detainer,default_judgment,1,0,0,1,,
1999,unlawful_detainer,dismissal,1163,0,0,1163,,
1999,unlawful_detainer,judgment,901,0,0,901,,
1999,unlawful_detainer,renewal,2,2,0,0,,
1999,writ_or_mandate,dismissal,40,0,0,40,,
1999,writ_or_mandate,judgment,58,0,0,58,,
1999,writ_or_mandate,judgment_of_dismissal,2,0,0,2,,
2000,civil_general,monetary_judgment,2821,1614,1207,0,4813.07,2000.0
2000,unlawful_detainer,possession,831,440,130,261,2757.46,2000.0
2000,civil_general,renewal,236,133,103,0,12710.28,2010.0
2000,small_claims,monetary_judgment,2153,2110,43,0,1121.12,2000.0
2000,small_claims,amended_judgment,207,196,7,4,470.00,2000.0
2000,civil_general,amended_judgment,9,3,6,0,6647.64,2001.0
2000,civil_general,take_nothing,50,15,6,29,1611.87,2000.5
2000,unlawful_detainer,amended_judgment,16,5,6,5,5258.08,2000.0
2000,unlawful_detainer,take_nothing,39,15,3,21,8485.50,2000.0
2000,unlawful_detainer,renewal,2,0,2,0,10743.79,2010.0
2000,civil_general,dismissal,7473,0,1,7472,14780.38,2001.0
2000,small_claims,dismissal,826,86,1,739,694.00,2001.0
2000,unlawful_detainer,dismissal,1255,0,1,1254,639.00,2000.0
2000,unlawful_detainer,judgment,977,0,1,976,22314.75,2000.0
2000,writ_or_mandate,renewal,1,0,1,0,10020.50,2020.0
2000,appellate_review,dismissal,6,0,0,6,,
2000,civil_general,default_judgment,14,0,0,14,,
2000,civil_general,judgment,237,1,0,236,,
2000,civil_general,judgment_of_dismissal,25,0,0,25,,
2000,civil_general,name_change_decree,365,0,0,365,,
2000,civil_general,possession,2,1,0,1,,
2000,criminal,dismissal,1799,0,0,1799,,
2000,family_domestic_violence,dismissal,18,0,0,18,,
2000,family_domestic_violence,judgment,1,0,0,1,,
2000,family_domestic_violence,possession,1,0,0,1,,
2000,family_multi_order,amended_judgment,2,0,0,2,,
2000,family_multi_order,default_judgment,2,0,0,2,,
2000,family_multi_order,dismissal,33,0,0,33,,
2000,family_multi_order,judgment,124,0,0,124,,
2000,probate,dismissal,37,0,0,37,,
2000,probate,judgment,3,0,0,3,,
2000,small_claims,judgment,1793,0,0,1793,,
2000,small_claims,renewal,9,9,0,0,,
2000,unlawful_detainer,default_judgment,1,0,0,1,,
2000,unlawful_detainer,judgment_of_dismissal,1,0,0,1,,
2000,unlawful_detainer,monetary_judgment,5,5,0,0,,
2000,writ_or_mandate,default_judgment,1,0,0,1,,
2000,writ_or_mandate,dismissal,50,0,0,50,,
2000,writ_or_mandate,judgment,68,0,0,68,,
2000,writ_or_mandate,judgment_of_dismissal,1,0,0,1,,
2001,civil_general,monetary_judgment,2957,1760,1197,0,6235.08,2001.0
2001,unlawful_detainer,possession,688,359,130,199,3462.80,2001.0
2001,civil_general,renewal,230,133,97,0,10419.96,2011.0
2001,small_claims,monetary_judgment,2305,2259,46,0,1525.00,2001.0
2001,small_claims,amended_judgment,207,196,8,3,4194.47,2001.0
2001,unlawful_detainer,amended_judgment,32,16,7,9,5843.20,2001.0
2001,civil_general,amended_judgment,16,6,6,4,10402.71,2002.0
2001,civil_general,take_nothing,34,6,5,23,3999.67,2003.0
2001,unlawful_detainer,monetary_judgment,18,12,5,1,60818.37,2002.0
2001,unlawful_detainer,renewal,4,0,4,0,15247.73,2010.5
2001,small_claims,dismissal,915,87,2,826,1439.85,2001.0
2001,small_claims,judgment,1421,0,2,1419,622.50,2001.0
2001,writ_or_mandate,monetary_judgment,302,300,2,0,125871.92,2001.5
2001,civil_general,judgment,221,1,1,219,1750.00,2004.0
2001,small_claims,renewal,19,18,1,0,9205.00,2012.0
2001,unknown,monetary_judgment,1,0,1,0,8500.00,2002.0
2001,unlawful_detainer,take_nothing,26,11,1,14,3392.00,2001.0
2001,writ_or_mandate,amended_judgment,1,0,1,0,42322.24,2003.0
2001,writ_or_mandate,renewal,12,11,1,0,22287057.00,2003.0
2001,appellate_review,dismissal,6,0,0,6,,
2001,civil_general,declaratory/injunctive,1,0,0,1,,
2001,civil_general,default_judgment,13,0,0,13,,
2001,civil_general,dismissal,8886,1,0,8885,,
2001,civil_general,judgment_of_dismissal,13,0,0,13,,
2001,civil_general,name_change_decree,414,0,0,414,,
2001,civil_general,possession,4,2,0,2,,
2001,criminal,dismissal,2016,0,0,2016,,
2001,family_domestic_violence,dismissal,7,0,0,7,,
2001,family_domestic_violence,judgment,5,0,0,5,,
2001,family_multi_order,amended_judgment,3,0,0,3,,
