event_year,case_model,event_kind,extraction_period,source_field,operative_event_count,parsed_total_count,recognized_money_event_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count
2001,unlawful_detainer,monetary_judgment,legacy_2000_2013,description,14,12,13,1,0,0
2001,civil_general,amended_judgment,legacy_2000_2013,description,12,8,8,0,0,0
2001,writ_or_mandate,judgment,historical_pre_2000,description,8,0,0,0,0,0
2001,civil_general,amended_judgment,historical_pre_2000,description,7,3,4,1,0,0
2001,civil_general,possession,legacy_2000_2013,description,6,2,2,0,0,0
2001,family_multi_order,default_judgment,historical_pre_2000,description,6,0,1,1,0,0
2001,civil_general,default_judgment,historical_pre_2000,description,5,0,0,0,0,0
2001,unlawful_detainer,default_judgment,legacy_2000_2013,description,4,0,0,0,0,0
2001,writ_or_mandate,monetary_judgment,historical_pre_2000,description,4,4,4,0,0,0
2001,family_domestic_violence,judgment,legacy_2000_2013,description,3,0,0,0,0,0
2001,family_multi_order,default_judgment,legacy_2000_2013,description,3,0,0,0,0,0
2001,probate,amended_judgment,legacy_2000_2013,description,3,0,0,0,0,0
2001,family_domestic_violence,judgment,historical_pre_2000,description,2,0,0,0,0,0
2001,unlawful_detainer,monetary_judgment,historical_pre_2000,description,2,2,2,0,0,0
2001,criminal,judgment,legacy_2000_2013,description,1,0,0,0,0,0
2001,family_multi_order,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
2001,probate,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
2001,probate,judgment,legacy_2000_2013,description,1,0,0,0,0,0
2001,small_claims,take_nothing,legacy_2000_2013,description,1,0,0,0,0,0
2001,unlawful_detainer,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
2001,writ_or_mandate,amended_judgment,legacy_2000_2013,description,1,1,1,0,0,0
2002,civil_general,monetary_judgment,legacy_2000_2013,description,3089,3089,3089,0,0,0
2002,small_claims,monetary_judgment,legacy_2000_2013,description,2822,2822,2822,0,0,0
2002,small_claims,judgment,legacy_2000_2013,description,1575,0,10,10,0,0
2002,civil_general,judgment,legacy_2000_2013,description,1307,2,47,45,0,0
2002,unlawful_detainer,judgment,legacy_2000_2013,description,1263,4,31,27,0,0
2002,writ_or_mandate,monetary_judgment,legacy_2000_2013,description,1249,1249,1249,0,0,0
2002,civil_general,monetary_judgment,historical_pre_2000,description,686,686,686,0,0,0
2002,unlawful_detainer,possession,legacy_2000_2013,description,514,408,417,9,0,0
2002,small_claims,amended_judgment,legacy_2000_2013,description,289,213,229,16,0,0
2002,unlawful_detainer,amended_judgment,legacy_2000_2013,description,170,90,105,15,0,0
2002,unlawful_detainer,monetary_judgment,legacy_2000_2013,description,110,109,110,1,0,0
2002,writ_or_mandate,judgment,legacy_2000_2013,description,108,0,3,3,0,0
2002,civil_general,judgment,historical_pre_2000,description,102,0,8,8,0,0
2002,family_multi_order,judgment,legacy_2000_2013,description,72,0,0,0,0,0
2002,civil_general,take_nothing,legacy_2000_2013,description,69,6,9,3,0,0
2002,writ_or_mandate,judgment,historical_pre_2000,description,34,0,0,0,0,0
2002,civil_general,amended_judgment,legacy_2000_2013,description,30,22,25,3,0,0
2002,writ_or_mandate,monetary_judgment,historical_pre_2000,description,24,24,24,0,0,0
2002,civil_general,take_nothing,historical_pre_2000,description,18,2,2,0,0,0
2002,civil_general,default_judgment,legacy_2000_2013,description,17,0,1,1,0,0
2002,civil_general,amended_judgment,historical_pre_2000,description,11,2,5,3,0,0
2002,unlawful_detainer,take_nothing,legacy_2000_2013,description,11,0,0,0,0,0
2002,family_multi_order,judgment,historical_pre_2000,description,6,0,0,0,0,0
2002,small_claims,judgment,historical_pre_2000,description,6,0,0,0,0,0
2002,small_claims,monetary_judgment,historical_pre_2000,description,6,6,6,0,0,0
2002,unlawful_detainer,possession,historical_pre_2000,description,6,0,0,0,0,0
2002,civil_general,declaratory/injunctive,legacy_2000_2013,description,3,0,0,0,0,0
2002,civil_general,default_judgment,historical_pre_2000,description,3,0,0,0,0,0
