event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
2001,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,2
2001,criminal,legacy_2000_2013,description,recognized_money_but_no_total,2
2001,criminal,historical_pre_2000,description,recognized_money_but_no_total,1
2001,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,1
2001,family_multi_order,legacy_2000_2013,description,recognized_money_but_no_total,1
2001,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,1
2002,civil_general,legacy_2000_2013,description,no_amount_signal,11585
2002,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2605
2002,criminal,legacy_2000_2013,description,no_amount_signal,2558
2002,small_claims,legacy_2000_2013,description,no_amount_signal,2287
2002,civil_general,historical_pre_2000,description,no_amount_signal,1718
2002,criminal,historical_pre_2000,description,no_amount_signal,226
2002,family_multi_order,legacy_2000_2013,description,no_amount_signal,177
2002,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,170
2002,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,72
2002,criminal,unknown_period,description,no_amount_signal,59
2002,family_multi_order,historical_pre_2000,description,no_amount_signal,57
2002,unlawful_detainer,historical_pre_2000,description,no_amount_signal,40
2002,writ_or_mandate,historical_pre_2000,description,no_amount_signal,39
2002,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,34
2002,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,27
2002,probate,legacy_2000_2013,description,no_amount_signal,25
2002,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,13
2002,probate,historical_pre_2000,description,no_amount_signal,10
2002,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,10
2002,appellate_review,legacy_2000_2013,description,no_amount_signal,5
2002,civil_general,historical_pre_2000,description,recognized_money_but_no_total,4
2002,criminal,legacy_2000_2013,description,recognized_money_but_no_total,4
2002,appellate_review,historical_pre_2000,description,no_amount_signal,3
2002,unknown,legacy_2000_2013,description,no_amount_signal,3
2002,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,2
2002,family_domestic_violence,historical_pre_2000,description,no_amount_signal,2
2002,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,2
2002,criminal,unknown_period,docketEntryComment,no_amount_signal,1
2002,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,1
2002,small_claims,historical_pre_2000,description,no_amount_signal,1
2003,civil_general,legacy_2000_2013,description,no_amount_signal,11993
2003,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2670
2003,criminal,legacy_2000_2013,description,no_amount_signal,2608
2003,small_claims,legacy_2000_2013,description,no_amount_signal,2246
2003,family_multi_order,legacy_2000_2013,description,no_amount_signal,612
2003,civil_general,historical_pre_2000,description,no_amount_signal,445
2003,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,176
2003,criminal,historical_pre_2000,description,no_amount_signal,114
2003,family_multi_order,historical_pre_2000,description,no_amount_signal,112
2003,criminal,unknown_period,description,no_amount_signal,80
